City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,40.66,75,75,16.11,broken clouds
1,Severo-Kurilsk,RU,50.6789,156.125,51.46,79,80,16.37,broken clouds
2,Barra Patuca,HN,15.8,-84.2833,81.16,82,86,6.93,overcast clouds
3,Nantucket,US,41.2835,-70.0995,64.09,77,1,6.91,clear sky
4,Kodiak,US,41.2835,-70.0995,64.09,77,1,6.91,clear sky
5,Peterhead,GB,57.5058,-1.7981,54.72,94,25,3.33,scattered clouds
6,Souillac,MU,-20.5167,57.5167,68.38,60,20,6.91,few clouds
7,Adrar,MR,20.5022,-10.0711,87.24,32,16,23.96,few clouds
8,Ponta Do Sol,PT,32.6667,-17.1,71.71,74,55,6.11,broken clouds
9,Margate,GB,51.3813,1.3862,61.3,98,100,11.59,overcast clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,53,20,14.97,few clouds
11,Yumen,CN,40.2833,97.2,74.17,15,45,12.59,scattered clouds
12,Yeniseysk,RU,50.6789,156.125,51.46,79,80,16.37,broken clouds
13,Ventspils,LV,57.3894,21.5606,40.93,100,0,5.75,clear sky
14,Arraial Do Cabo,BR,-22.9661,-42.0278,71.8,87,100,12.26,overcast clouds
15,Byron Bay,AU,-28.65,153.6167,84.7,54,19,16.37,few clouds
16,Busselton,AU,-28.65,153.6167,84.7,54,19,16.37,few clouds
17,Qaanaaq,GL,77.484,-69.3632,10.62,82,19,7.45,few clouds
18,Udachnyy,RU,50.6789,156.125,51.46,79,80,16.37,broken clouds
19,Cherskiy,RU,50.6789,156.125,51.46,79,80,16.37,broken clouds
20,Khani,RU,50.6789,156.125,51.46,79,80,16.37,broken clouds
21,Hun,LY,29.1268,15.9477,80.67,26,0,7.07,clear sky
22,Tiksi,RU,50.6789,156.125,51.46,79,80,16.37,broken clouds
23,Mnogovershinnyy,RU,50.6789,156.125,51.46,79,80,16.37,broken clouds
24,Georgetown,MY,5.4112,100.3354,80.55,87,20,1.01,few clouds
25,Manado,ID,1.487,124.8455,90.37,62,20,3.44,few clouds
26,East London,GB,51.3813,1.3862,61.3,98,100,11.59,overcast clouds
27,Umm Lajj,SA,25.0213,37.2685,83.05,56,8,8.12,clear sky
28,Faanui,PF,-16.4833,-151.75,78.78,73,62,18.81,light rain
29,Vaini,TO,-21.2,-175.2,77.16,78,40,11.5,scattered clouds
30,Muros,ES,42.7762,-9.0603,62.24,92,13,11.12,few clouds
31,Belushya Guba,RU,50.6789,156.125,51.46,79,80,16.37,broken clouds
32,Doha,QA,25.2867,51.5333,89.58,50,0,5.75,clear sky
33,Pevek,RU,50.6789,156.125,51.46,79,80,16.37,broken clouds
34,Arlit,NE,18.7369,7.3853,88.92,11,35,8.41,scattered clouds
35,Tengzhou,CN,40.2833,97.2,74.17,15,45,12.59,scattered clouds
36,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,28.77,few clouds
37,Kayseri,TR,38.737,35.4968,53.62,94,20,1.14,few clouds
38,Ucluelet,CA,69.4541,-133.0374,44.6,53,20,14.97,few clouds
39,Pokhara,NP,28.2333,83.9833,73.76,86,78,1.21,broken clouds
40,Barrow,US,41.2835,-70.0995,64.09,77,1,6.91,clear sky
